Ref,Val,Package,PosX,PosY,Rot,Side
"BT101","Battery_Cell","3002",-21.1000,18.5750,180.0000,bottom
"C101","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-14.8000,24.2750,0.0000,top
"C102","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-24.7675,17.6750,180.0000,top
"C103","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-17.0675,16.9125,0.0000,top
"C104","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-35.3500,23.9846,-90.0000,top
"C105","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-30.9000,13.7750,90.0000,top
"C106","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-30.9000,16.1575,90.0000,top
"D101","IDENTIFY","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-17.6500,11.5050,-90.0000,top
"IC102","APDS-9306-065","Broadcom_DFN-6_2x2mm_P0.65mm",-33.5000,24.1750,-90.0000,top
"IC103","BME688","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",-33.2000,14.5750,90.0000,top
"M101","BL54L15","BL54L15",-21.1000,25.2750,0.0000,top
"Q101","BSS84","SOT-23-3",-14.2000,16.3125,-90.0000,top
"R101","100k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-14.8000,25.2750,180.0000,top
"R102","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-12.3500,8.1250,0.0000,bottom
"R103","220R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-17.6500,8.3250,90.0000,top
"R104","1k8","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-33.4500,26.3846,0.0000,top
"R105","1k8","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-31.1000,25.3750,180.0000,top
"R106","1k8","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-34.7500,21.9750,0.0000,top
"R108","8k2","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-17.1000,14.9125,180.0000,top
"R109","2k2","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-17.0975,15.9125,0.0000,top
"SW101","JOIN","WS-TASV-6x6",-24.1000,10.5750,180.0000,top
