Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number
1,1,BT101,Battery_Cell,https://eu.mouser.com/datasheet/2/215/002-745381.pdf,3002,Single-cell battery,,
2,6,C101 C102 C103 C104 C105 C106,100n,https://www.mouser.de/datasheet/2/40/KGM_X7R-3223212.pdf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,Unpolarized capacitor,,
3,1,D101,IDENTIFY,https://www.mouser.de/datasheet/2/678/hsmq_c170_t0000_ds100-2498198.pdf,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,,
4,1,IC102,APDS-9306-065,https://docs.broadcom.com/docs/AV02-4755EN,Broadcom_DFN-6_2x2mm_P0.65mm,,,
5,1,IC103,BME688,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme688-ds000.pdf,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,"4-in-1 sensor, gas, humidity, pressure, temperature, I2C and SPI interface, 1.71-3.6V, LGA-8",,
6,1,M101,BL54L15,https://www.ezurio.com/documentation/datasheet-bl54l15-series,BL54L15,nRFL15 module,,
7,1,Q101,BSS84,https://www.mouser.de/datasheet/2/308/1/BSS84_D-2310226.pdf,SOT-23-3,"-0.13A Id, -50V Vds, P-Channel MOSFET, SOT-23",,
8,1,R102,0R,https://www.mouser.de/datasheet/2/54/cr_a_as-1858644.pdf,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
9,1,R103,220R,https://www.mouser.de/datasheet/2/54/cr-1858361.pdf,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,Resistor,,
10,3,R104 R105 R106,1k8,https://www.mouser.de/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,Resistor,,
11,1,R109,2k2,https://www.mouser.de/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_15-3461507.pdf,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,Resistor 62.5 mW 0.1,,
12,1,R108,8k2,https://www.mouser.de/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_15-3461507.pdf,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,Resistor 62.5 mW 0.1%,,
13,1,R101,100k,https://www.mouser.de/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,Resistor,,
14,1,SW101,JOIN,https://www.we-online.com/components/products/datasheet/430182130816.pdf,WS-TASV-6x6,"Push button switch, generic, two pins",,
