Ref,PosX,PosY,Rot,Side
"BT101",-21.1000,13.8750,180.0000,bottom
"C101",-14.8000,24.2750,0.0000,top
"C102",-24.7675,17.6750,180.0000,top
"C103",-17.0675,16.9125,0.0000,top
"C104",-35.3500,23.9846,-90.0000,top
"C105",-27.2000,15.6750,90.0000,top
"C106",-27.2000,18.0575,90.0000,top
"D101",-17.6500,6.5050,-90.0000,top
"IC102",-33.5000,24.1750,-90.0000,top
"IC103",-29.5000,16.4750,90.0000,top
"M101",-21.1000,25.2750,0.0000,top
"Q101",-14.2000,16.3125,-90.0000,top
"R101",-14.8000,25.2750,180.0000,top
"R102",-12.7000,10.2750,0.0000,top
"R103",-17.6500,3.3250,90.0000,top
"R104",-33.4500,26.3846,0.0000,top
"R105",-31.1000,25.3750,180.0000,top
"R108",-17.1000,14.9125,180.0000,top
"R109",-17.0975,15.9125,0.0000,top
"SW101",-24.1000,5.5750,180.0000,top
